Ref_Date,GEO,FUEL,Vector,Coordinate,Value
2005,Canada,"Total solids (x 1,000)",v52310160,1.1,1613114.00000000
2006,Canada,"Total solids (x 1,000)",v52310160,1.1,1586593.00000000
2007,Canada,"Total solids (x 1,000)",v52310160,1.1,1781552.00000000
2008,Canada,"Total solids (x 1,000)",v52310160,1.1,1640442.00000000
2009,Canada,"Total solids (x 1,000)",v52310160,1.1,1307893.00000000
2010,Canada,"Total solids (x 1,000)",v52310160,1.1,1507895.00000000
2011,Canada,"Total solids (x 1,000)",v52310160,1.1,1308869.00000000
2012,Canada,"Total solids (x 1,000)",v52310160,1.1,1330606.00000000
2013,Canada,"Total solids (x 1,000)",v52310160,1.1,1413381.00000000
2014,Canada,"Total solids (x 1,000)",v52310160,1.1,1188571.00000000
2015,Canada,"Total solids (x 1,000)",v52310160,1.1,1212425.00000000
2005,Canada,"Total coal (x 1,000)",v52310171,1.2,1536300.00000000
2006,Canada,"Total coal (x 1,000)",v52310171,1.2,1505137.00000000
2007,Canada,"Total coal (x 1,000)",v52310171,1.2,1699441.00000000
2008,Canada,"Total coal (x 1,000)",v52310171,1.2,1564837.00000000
2009,Canada,"Total coal (x 1,000)",v52310171,1.2,1231010.00000000
2010,Canada,"Total coal (x 1,000)",v52310171,1.2,1398372.00000000
2011,Canada,"Total coal (x 1,000)",v52310171,1.2,1171483.00000000
2012,Canada,"Total coal (x 1,000)",v52310171,1.2,1213405.00000000
2013,Canada,"Total coal (x 1,000)",v52310171,1.2,1285988.00000000
2014,Canada,"Total coal (x 1,000)",v52310171,1.2,1058945.00000000
2015,Canada,"Total coal (x 1,000)",v52310171,1.2,1096132.00000000
2005,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,691193.00000000
2006,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,605627.00000000
2007,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,710016.00000000
2008,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,601762.00000000
2009,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,435786.00000000
2010,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,609223.00000000
2011,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,435426.00000000
2012,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,391327.00000000
2013,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,401439.00000000
2014,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,350350.00000000
2015,Canada,"Total bituminous coal (x 1,000)",v52310177,1.3,309313.00000000
2005,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,33585.00000000
2006,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,47213.00000000
2007,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,58491.00000000
2008,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,57051.00000000
2009,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,83959.00000000
2010,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,54158.00000000
2011,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,61934.00000000
2012,Canada,"Canadian bituminous coal (x 1,000)",v52310178,1.4,44471.00000000
