Ref_Date,GEO,CLS,CAPACITY,Vector,Coordinate,Value
2006,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,123003404.0
2007,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,124348252.0
2008,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,125334419.0
2009,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,129616033.0
2010,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,130528482.0
2011,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,130671821.0
2012,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,..
2013,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,130893302.0
2014,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,133265279.0
2015,Canada,Total all classes of electricity producer,Total installed capacity,v53517872,1.1.1,135268476.0
2006,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,72644118.0
2007,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,73442973.0
2008,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,74371981.0
2009,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,74673138.0
2010,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,75062499.0
2011,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,75403484.0
2012,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,..
2013,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,76520368.0
2014,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,78719516.0
2015,Canada,Total all classes of electricity producer,Hydraulic turbine,v53517874,1.1.2,79232255.0
2006,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,1470499.0
2007,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,1824349.0
2008,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,2228609.0
2009,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,3026259.0
2010,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,3972559.0
2011,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,4476709.0
2012,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,..
2013,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,6716982.0
2014,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,7031582.0
2015,Canada,Total all classes of electricity producer,Wind power turbine,v53517875,1.1.3,7640772.0
2006,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,3700.0
2007,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2008,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2009,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2010,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2011,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2012,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,..
2013,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2014,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2015,Canada,Total all classes of electricity producer,Tidal power turbine,v53517876,1.1.4,20000.0
2007,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,0.0
2008,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,..
2009,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,..
2010,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,108400.0
2011,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,143612.0
2012,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,..
2013,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,162112.0
2014,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,192900.0
2015,Canada,Total all classes of electricity producer,Solar power turbine,v54259658,1.1.5,193870.0
2006,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,48885087.0
2007,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,49060930.0
2008,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,48713829.0
2009,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,51896636.0
2010,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,51365024.0
2011,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,50628016.0
2012,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,..
2013,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,47473840.0
2014,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,47301281.0
2015,Canada,Total all classes of electricity producer,Total thermal,v53517877,1.1.6,48181579.0
2006,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,25768798.0
2007,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,25987248.0
2008,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,25910768.0
2009,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,27142193.0
2010,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,25491031.0
2011,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,24732978.0
2012,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,..
2013,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,20639158.0
2014,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,20642088.0
2015,Canada,Total all classes of electricity producer,Conventional steam turbine,v53517878,1.1.7,20468648.0
2006,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,13345000.0
2007,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,13345000.0
2008,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,13345000.0
2009,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,12665000.0
2010,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,12665000.0
2011,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,13345000.0
2012,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,..
2013,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,14033000.0
2014,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,14033000.0
2015,Canada,Total all classes of electricity producer,Nuclear steam turbine,v53517879,1.1.8,14033000.0
2006,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,9160533.0
2007,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,8988238.0
2008,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,8710726.0
2009,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,11291696.0
2010,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,12406238.0
2011,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,11746501.0
2012,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,..
2013,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,11879596.0
2014,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,11517316.0
2015,Canada,Total all classes of electricity producer,Combustion turbine,v53517880,1.1.9,12472960.0
2006,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,610756.0
2007,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,740444.0
2008,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,747335.0
2009,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,797747.0
2010,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,802755.0
2011,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,803537.0
2012,Canada,Total all classes of electricity producer,Internal combustion turbine,v53517873,1.1.10,..
